host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,property_type,city,rating,no._of_bedrooms,no._of_beds,no._of_baths
Ronel,Ward 9,-33.91244,18.65763,Private room,230.0,4,39,2023-12-17,0.45,5,162,11,Home,Cape Town,4.79,1.0,1.0,1.0
Shirley,Ward 15,-34.04852,18.82163,Private room,450.0,1,264,2023-04-13,3.02,1,242,13,Home,Cape Town,4.84,1.0,1.0,1.0
Marley,Ward 59,-33.9601,18.46552,Entire home/apt,8000.0,10,2,2022-04-10,0.02,3,319,0,Home,Cape Town,,8.0,8.0,4.0
Willem,Ward 115,-33.92537,18.41332,Entire home/apt,4729.0,2,122,2023-12-24,1.41,4,175,15,Condo,Cape Town,4.63,2.0,2.0,2.0
Lisa,Ward 115,-33.93265,18.41135,Private room,1406.0,1,0,,,4,0,0,Bed and breakfast,Cape Town,,1.0,3.0,1.0
Sabine,Ward 54,-33.91236,18.39041,Entire home/apt,1909.0,2,158,2023-12-04,1.82,1,165,29,Condo,Cape Town,4.89,2.0,3.0,2.0
Louise,Ward 77,-33.92588,18.41076,Entire home/apt,3200.0,7,9,2023-01-23,0.11,1,243,1,Cottage,Cape Town,5.0,2.0,2.0,2.0
Lisa,Ward 115,-33.93355,18.40978,Private room,1544.0,1,3,2023-02-26,0.06,4,357,1,Bed and breakfast,Cape Town,4.33,1.0,1.0,1.0
Lavinia,Ward 54,-33.95453,18.38007,Entire home/apt,56214.0,4,67,2023-08-05,0.76,22,255,3,Villa,Cape Town,4.97,5.0,6.0,7.0
Lisa,Ward 77,-33.93368,18.40916,Private room,1442.0,1,0,,,4,352,0,Bed and breakfast,Cape Town,,1.0,2.0,1.0
Mimi,Ward 112,-33.829727607720834,18.668490380685636,Private room,350.0,2,13,2023-12-01,0.15,2,252,5,Home,Cape Town,4.77,1.0,2.0,No bath
Christa,Ward 115,-33.90995,18.40691,Entire home/apt,5800.0,7,5,2023-04-26,0.07,1,345,2,Home,Cape Town,5.0,2.0,2.0,2.0
Nox,Ward 54,-33.95961,18.37697,Entire home/apt,12200.0,4,20,2023-12-07,0.23,142,240,3,Rental unit,Cape Town,4.75,3.0,4.0,3.0
Mishka,Ward 100,-34.15871,18.87945,Entire home/apt,2400.0,2,2,2017-03-21,0.02,1,0,0,Home,Cape Town,,2.0,2.0,2.0
Sheldon,Ward 115,-33.90828,18.40597,Private room,1593.0,1,24,2021-01-02,0.28,3,174,0,Bed and breakfast,Cape Town,4.54,2.0,1.0,1.0
